time,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
0,0.092,0.117,0.001,0.001,0,0,0
1,0.092,0.117,0.025,0.026,0,0,0
2,0.092,0.118,0.003,0.03,0,0,0
3,0.092,0.117,0.028,0.058,0,0,0
4,0.092,0.117,0.03,0.088,0,0,0
5,0.092,0.117,0.013,0.102,0,0,0
6,0.092,0.118,0.007,0.108,0,0,0
7,0.092,0.117,0.023,0.132,0,0,1
8,0.092,0.118,0.021,0.154,0,0,1
9,0.092,0.117,0.031,0.184,0,0,1
10,0.092,0.117,0.021,0.205,0,0,1
11,0.092,0.117,0.221,0.429,0,0,1
12,0.092,0.117,0.017,0.443,0,0,1
13,0.092,0.118,0.009,0.453,0,0,1
14,0.092,0.117,0.008,0.46,0,0,1
15,0.092,0.117,0.023,0.484,0,0,1
16,0.092,0.117,0.24,0.726,0,0,1
17,0.092,0.117,0.005,0.729,0,0,1
18,0.092,0.117,0.033,0.766,0,0,1
19,0.092,0.117,0.03,0.798,0,0,1
20,0.092,0.117,0.013,0.806,0,0,1
21,0.092,0.117,0.03,0.836,0,0,1
22,0.092,0.117,0.013,0.846,0,0,0
23,0.092,0.117,0.009,0.858,0,0,0
24,0.092,0.117,0.002,0.002,0,0,0
25,0.092,0.117,0.01,0.012,0,0,0
26,0.092,0.118,0.016,0.028,0,0,0
27,0.092,0.117,0.014,0.043,0,0,0
28,0.092,0.117,0.016,0.059,0,0,0
29,0.092,0.118,0.007,0.066,0,0,0
30,0.092,0.118,0.017,0.083,0,0,0
31,0.092,0.118,0.002,0.084,0,0,1
32,0.092,0.117,0.017,0.101,0,0,1
33,0.092,0.117,0.001,0.102,0,0,1
34,0.092,0.117,0.166,0.269,0,0,1
35,0.092,0.117,0.015,0.286,0,0,1
36,0.092,0.118,0.166,0.451,0,0,1
37,0.092,0.117,0.007,0.457,0,0,1
38,0.092,0.117,0.011,0.468,0,0,1
39,0.092,0.117,0.014,0.485,0,0,1
40,0.092,0.118,0.011,0.493,0,0,1
41,0.092,0.117,0.009,0.502,0,0,1
42,0.092,0.118,0.012,0.515,0,0,1
43,0.092,0.117,0.017,0.535,0,0,1
44,0.092,0.117,0.0,0.535,0,0,1
45,0.092,0.117,0.017,0.55,0,0,1
46,0.092,0.118,0.298,0.855,0,0,0
47,0.092,0.117,0.018,0.869,0,0,0
48,0.092,0.118,0.021,0.022,0,0,0
49,0.092,0.118,0.012,0.033,0,0,0
50,0.092,0.118,0.017,0.051,0,0,0
51,0.092,0.117,0.02,0.071,0,0,0
52,0.092,0.117,0.018,0.089,0,0,0
53,0.092,0.117,0.03,0.12,0,0,0
54,0.092,0.117,0.018,0.138,0,0,0
55,0.092,0.117,0.03,0.168,0,0,1
56,0.092,0.117,0.016,0.186,0,0,1
57,0.092,0.117,0.224,0.409,0,0,1
58,0.092,0.117,0.032,0.442,0,0,1
59,0.092,0.117,0.01,0.45,0,0,1
60,0.092,0.117,0.033,0.483,0,0,1
61,0.092,0.118,0.004,0.489,0,0,1
62,0.092,0.118,0.026,0.518,0,0,1
63,0.092,0.117,0.017,0.536,0,0,1
64,0.092,0.117,0.228,0.765,0,0,1
65,0.092,0.117,0.007,0.771,0,0,1
66,0.092,0.117,0.017,0.788,0,0,1
67,0.092,0.117,0.016,0.8,0,0,1
68,0.092,0.118,0.009,0.811,0,0,1
69,0.092,0.117,0.015,0.822,0,0,1
70,0.092,0.118,0.011,0.839,0,0,0
71,0.092,0.117,0.021,0.855,0,0,0
72,0.092,0.117,0.008,0.008,0,1,0
73,0.092,0.117,0.002,0.01,0,1,0
74,0.092,0.118,0.017,0.027,0,1,0
75,0.092,0.118,0.013,0.041,0,1,0
76,0.092,0.117,0.003,0.044,0,1,0
77,0.092,0.117,0.021,0.065,0,1,0
78,0.092,0.118,0.008,0.074,0,1,0
79,0.092,0.118,0.019,0.093,0,1,1
80,0.092,0.117,0.008,0.101,0,1,1
81,0.092,0.117,0.158,0.259,0,1,1
82,0.092,0.118,0.016,0.276,0,1,1
83,0.092,0.117,0.019,0.294,0,1,1
84,0.092,0.117,0.004,0.298,0,1,1
85,0.092,0.118,0.013,0.312,0,1,1
86,0.092,0.117,0.156,0.468,0,1,1
87,0.092,0.118,0.012,0.478,0,1,1
88,0.092,0.117,0.003,0.483,0,1,1
89,0.092,0.117,0.021,0.506,0,1,1
90,0.092,0.117,0.009,0.515,0,1,1
91,0.092,0.117,0.021,0.537,0,1,1
92,0.092,0.117,0.154,0.69,0,1,1
93,0.092,0.118,0.145,0.831,0,1,1
94,0.092,0.118,0.02,0.852,0,1,0
95,0.092,0.117,0.016,0.868,0,1,0
96,0.092,0.117,0.007,0.006,0,1,0
97,0.092,0.117,0.006,0.013,0,1,0
98,0.092,0.118,0.007,0.02,0,1,0
99,0.092,0.118,0.007,0.027,0,1,0
100,0.092,0.118,0.013,0.04,0,1,0
101,0.092,0.117,0.005,0.045,0,1,0
102,0.092,0.118,0.013,0.057,0,1,0
103,0.092,0.117,0.015,0.072,0,1,1
104,0.092,0.117,0.014,0.087,0,1,1
105,0.092,0.118,0.01,0.097,0,1,1
106,0.092,0.118,0.108,0.205,0,1,1
107,0.092,0.117,0.004,0.209,0,1,1
108,0.092,0.118,0.109,0.32,0,1,1
109,0.092,0.117,0.003,0.322,0,1,1
110,0.092,0.118,0.102,0.425,0,1,1
111,0.092,0.118,0.015,0.439,0,1,1
112,0.092,0.118,0.002,0.438,0,1,1
113,0.092,0.117,0.103,0.542,0,1,1
114,0.092,0.118,0.009,0.55,0,1,1
115,0.092,0.117,0.006,0.558,0,1,1
116,0.092,0.118,0.11,0.666,0,1,1
117,0.092,0.117,0.105,0.773,0,1,1
118,0.092,0.117,0.013,0.785,0,1,0
119,0.092,0.117,0.098,0.888,0,1,0
120,0.092,0.118,0.031,0.031,0,0,0
121,0.092,0.118,0.001,0.032,0,0,0
122,0.092,0.118,0.002,0.035,0,0,0
123,0.092,0.118,0.0,0.035,0,0,0
124,0.092,0.118,0.003,0.038,0,0,0
125,0.092,0.118,0.001,0.039,0,0,0
126,0.092,0.117,0.003,0.042,0,0,0
127,0.092,0.118,0.059,0.102,0,0,1
128,0.092,0.118,0.03,0.131,0,0,1
129,0.092,0.118,0.083,0.216,0,0,1
130,0.092,0.118,0.003,0.219,0,0,1
131,0.092,0.118,0.081,0.301,0,0,1
132,0.092,0.119,0.083,0.383,0,0,1
133,0.092,0.118,0.059,0.444,0,0,1
134,0.092,0.119,0.004,0.449,0,0,1
135,0.092,0.118,0.081,0.526,0,0,1
136,0.092,0.118,0.003,0.53,0,0,1
137,0.092,0.118,0.058,0.59,0,0,1
138,0.092,0.118,0.083,0.673,0,0,1
139,0.092,0.118,0.08,0.753,0,0,1
140,0.093,0.119,0.106,0.863,0,0,1
141,0.092,0.12,0.084,0.939,0,0,1
142,0.092,0.119,0.002,0.946,0,0,0
143,0.092,0.12,0.081,1.028,0,0,0
144,0.092,0.12,0.047,0.047,0,0,0
145,0.092,0.12,0.025,0.071,0,0,0
146,0.092,0.12,0.002,0.073,0,0,0
147,0.092,0.12,0.001,0.074,0,0,0
148,0.093,0.12,0.0,0.075,0,0,0
149,0.092,0.12,0.014,0.089,0,0,0
150,0.093,0.12,0.0,0.089,0,0,0
151,0.092,0.119,0.001,0.09,0,0,1
152,0.093,0.12,0.026,0.116,0,0,1
153,0.092,0.119,0.013,0.129,0,0,1
154,0.092,0.119,0.074,0.203,0,0,1
155,0.092,0.121,0.149,0.353,0,0,1
156,0.093,0.122,0.154,0.506,0,0,1
157,0.093,0.122,0.056,0.564,0,0,1
158,0.093,0.121,0.025,0.591,0,0,1
159,0.093,0.121,0.056,0.645,0,0,1
160,0.093,0.122,0.065,0.71,0,0,1
161,0.094,0.121,0.036,0.749,0,0,1
162,0.094,0.122,0.122,0.872,0,0,1
163,0.093,0.122,0.114,0.979,0,0,1
164,0.093,0.124,0.122,1.101,0,0,1
165,0.093,0.124,0.107,1.212,0,0,1
166,0.094,0.125,0.128,1.336,0,0,0
167,0.094,0.125,0.091,1.435,0,0,0
168,0.094,0.126,0.072,0.072,1,0,0
169,0.094,0.126,0.011,0.082,1,0,0
170,0.093,0.125,0.036,0.119,1,0,0
171,0.094,0.126,0.02,0.139,1,0,0
172,0.093,0.125,0.001,0.141,1,0,0
173,0.093,0.126,0.001,0.141,1,0,0
174,0.094,0.125,0.021,0.162,1,0,0
175,0.094,0.126,0.058,0.219,1,0,1
176,0.094,0.126,0.071,0.292,1,0,1
177,0.094,0.125,0.084,0.376,1,0,1
178,0.094,0.125,0.101,0.479,1,0,1
179,0.095,0.125,0.051,0.528,1,0,1
180,0.095,0.124,0.066,0.592,1,0,1
181,0.095,0.125,0.128,0.723,1,0,1
182,0.095,0.125,0.108,0.833,1,0,1
183,0.096,0.124,0.09,0.924,1,0,1
184,0.096,0.125,0.085,1.005,1,0,1
185,0.096,0.123,0.072,1.079,1,0,1
186,0.097,0.124,0.102,1.181,1,0,1
187,0.096,0.124,0.113,1.292,1,0,1
188,0.096,0.124,0.123,1.422,1,0,1
189,0.096,0.125,0.079,1.494,1,0,1
190,0.096,0.126,0.117,1.618,1,0,0
191,0.096,0.127,0.141,1.753,1,0,0
192,0.096,0.128,0.139,0.14,1,0,0
193,0.096,0.128,0.025,0.165,1,0,0
194,0.096,0.127,0.026,0.192,1,0,0
195,0.097,0.128,0.026,0.216,1,0,0
196,0.097,0.128,0.018,0.234,1,0,0
197,0.097,0.128,0.01,0.244,1,0,0
198,0.097,0.128,0.04,0.283,1,0,0
199,0.097,0.128,0.07,0.354,1,0,1
200,0.097,0.129,0.091,0.444,1,0,1
201,0.097,0.128,0.105,0.554,1,0,1
202,0.098,0.128,0.128,0.678,1,0,1
203,0.098,0.128,0.132,0.808,1,0,1
204,0.098,0.128,0.096,0.912,1,0,1
205,0.099,0.129,0.118,1.027,1,0,1
206,0.099,0.128,0.114,1.141,1,0,1
207,0.099,0.127,0.101,1.236,1,0,1
208,0.099,0.127,0.081,1.318,1,0,1
209,0.099,0.125,0.101,1.419,1,0,1
210,0.1,0.126,0.101,1.532,1,0,1
211,0.1,0.125,0.065,1.593,1,0,1
212,0.1,0.125,0.097,1.691,1,0,1
213,0.101,0.125,0.114,1.809,1,0,1
214,0.101,0.126,0.096,1.906,1,0,0
215,0.101,0.126,0.101,2.002,1,0,0
216,0.101,0.127,0.073,0.073,1,0,0
217,0.1,0.127,0.036,0.109,1,0,0
218,0.1,0.126,0.02,0.129,1,0,0
219,0.1,0.126,0.001,0.13,1,0,0
220,0.1,0.127,0.011,0.141,1,0,0
221,0.1,0.126,0.001,0.142,1,0,0
222,0.101,0.127,0.021,0.164,1,0,0
223,0.101,0.126,0.028,0.191,1,0,1
224,0.101,0.127,0.085,0.276,1,0,1
225,0.1,0.126,0.117,0.395,1,0,1
226,0.099,0.126,0.097,0.493,1,0,1
227,0.099,0.125,0.092,0.585,1,0,1
228,0.099,0.126,0.107,0.691,1,0,1
229,0.1,0.126,0.112,0.804,1,0,1
230,0.099,0.125,0.101,0.901,1,0,1
231,0.099,0.124,0.133,1.039,1,0,1
232,0.1,0.124,0.072,1.111,1,0,1
233,0.099,0.124,0.113,1.222,1,0,1
234,0.1,0.123,0.029,1.252,1,0,1
235,0.1,0.12,0.044,1.299,1,0,1
236,0.1,0.121,0.142,1.444,1,0,1
237,0.1,0.122,0.118,1.553,1,0,1
238,0.1,0.122,0.091,1.655,1,0,0
239,0.1,0.124,0.103,1.746,1,0,0
