time,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
0,1.149,0.092,0.093,0.611,0,0,0
1,1.154,0.036,0.129,0.612,0,0,0
2,1.148,0.142,0.27,0.61,0,0,0
3,1.152,0.028,0.298,0.609,0,0,0
4,1.148,0.059,0.357,0.614,0,0,0
5,1.154,0.024,0.384,0.613,0,0,0
6,1.148,0.018,0.399,0.61,0,0,0
7,1.158,0.109,0.511,0.614,0,0,1
8,1.156,0.132,0.644,0.61,0,0,1
9,1.147,0.18,0.824,0.614,0,0,1
10,1.154,0.057,0.881,0.609,0,0,1
11,1.151,0.117,0.999,0.61,0,0,1
12,1.153,0.169,1.17,0.611,0,0,1
13,1.153,0.055,1.228,0.612,0,0,1
14,1.154,0.184,1.411,0.612,0,0,1
15,1.158,0.131,1.541,0.612,0,0,1
16,1.158,0.06,1.6,0.613,0,0,1
17,1.157,0.171,1.767,0.613,0,0,1
18,1.155,0.129,1.895,0.611,0,0,1
19,1.156,0.12,2.017,0.611,0,0,1
20,1.156,0.077,2.103,0.614,0,0,1
21,1.154,1.49,3.599,0.614,0,0,1
22,1.153,0.014,3.601,0.61,0,0,0
23,1.157,0.103,3.709,0.613,0,0,0
24,1.148,0.103,0.102,0.615,0,0,0
25,1.15,0.172,0.275,0.615,0,0,0
26,1.148,0.043,0.316,0.613,0,0,0
27,1.153,0.155,0.473,0.61,0,0,0
28,1.152,0.063,0.535,0.61,0,0,0
29,1.153,0.073,0.611,0.611,0,0,0
30,1.151,0.101,0.706,0.614,0,0,0
31,1.156,0.073,0.784,0.613,0,0,1
32,1.149,0.151,0.936,0.611,0,0,1
33,1.152,0.16,1.089,0.609,0,0,1
34,1.154,0.178,1.265,0.609,0,0,1
35,1.15,0.114,1.381,0.611,0,0,1
36,1.149,0.079,1.466,0.609,0,0,1
37,1.147,0.106,1.572,0.614,0,0,1
38,1.153,0.041,1.616,0.612,0,0,1
39,1.157,0.069,1.682,0.611,0,0,1
40,1.153,0.022,1.696,0.612,0,0,1
41,1.151,0.059,1.764,0.61,0,0,1
42,1.152,0.102,1.869,0.614,0,0,1
43,1.161,1.423,3.267,0.61,0,0,1
44,1.16,0.019,3.298,0.616,0,0,1
45,1.155,0.165,3.454,0.615,0,0,1
46,1.158,0.123,3.603,0.613,0,0,0
47,1.154,0.119,3.708,0.614,0,0,0
48,1.147,0.084,0.084,0.611,0,0,0
49,1.152,0.092,0.177,0.614,0,0,0
50,1.148,0.173,0.348,0.612,0,0,0
51,1.155,0.072,0.422,0.61,0,0,0
52,1.151,0.044,0.466,0.613,0,0,0
53,1.148,0.179,0.647,0.611,0,0,0
54,1.151,0.091,0.738,0.613,0,0,0
55,1.154,0.082,0.821,0.614,0,0,1
56,1.155,0.006,0.827,0.612,0,0,1
57,1.148,0.008,0.827,0.609,0,0,1
58,1.15,0.132,0.964,0.614,0,0,1
59,1.159,0.047,1.013,0.613,0,0,1
60,1.157,0.103,1.112,0.609,0,0,1
61,1.149,0.031,1.149,0.609,0,0,1
62,1.158,0.046,1.187,0.609,0,0,1
63,1.148,0.088,1.281,0.614,0,0,1
64,1.158,0.081,1.366,0.612,0,0,1
65,1.151,0.02,1.38,0.613,0,0,1
66,1.154,0.146,1.534,0.611,0,0,1
67,1.152,0.031,1.565,0.613,0,0,1
68,1.156,0.178,1.735,0.614,0,0,1
69,1.156,0.196,1.933,0.613,0,0,1
70,1.16,1.581,3.508,0.609,0,0,0
71,1.157,0.176,3.701,0.61,0,0,0
72,1.156,0.067,0.067,0.614,0,1,0
73,1.159,0.193,0.26,0.611,0,1,0
74,1.151,0.194,0.453,0.612,0,1,0
75,1.157,0.005,0.458,0.609,0,1,0
76,1.157,0.03,0.49,0.612,0,1,0
77,1.151,0.19,0.683,0.613,0,1,0
